IDLicitacion;NombreLicitacion;Tipo;Estado;FechaPublicacion;Descripcion;Moneda;TipoPresupuesto;TipoMonto;MontoLicitacion;Organismo
1017312-18-LP26;SERVICIO DE PRESTACIONES MÉDICAS AMBULATORIAS PARA EL SISTEMA DE SALUD NAVAL EN LA REGIÓN DE AYSEN ;LP;Publicada y disponible para ofertar;24/09/2026 12:34:46;contar con convenios de atención que otorguen el Servicio de Prestaciones Médicas Ambulatorias para el Sistema de Salud Naval en la Región de Aysén;CLP;PUBLICADO;ESTIMADO;140.000.000;DIRECCION DE ABASTECIMIENTO DE LA ARMADA
592-18-LP26;Servicio de Obras Menores en edificio NC y Otras;LP;Publicada y disponible para ofertar;23/09/2026 18:29:14;Servicio de Obras Menores para la Reparación yo Mantención del Edificio del Nivel Central de la Subsecretaría de Educación, ubicado en Avenida Libertador Bernardo O´Higgins N.º 1371 y demás dependencias que se indican, todas de la Región Metropolitana de Santiago;CLP;PUBLICADO;DISPONIBLE;210.000.000;SUBSECRETARIA DEL MINISTERIO DE EDUCACION PUBLICA
592-38-LR26;SERV. INTEGRAL LOGÍSTICO DE TEXTOS ESCOLARES 2027;LR;Publicada y disponible para ofertar;22/09/2026 18:24:00;Contratar el Servicio Integral de Almacenaje, Valor Agregado Mecanizado y Distribución de Textos Escolares para el año 2027, con el objeto de entregarlos a establecimientos educacionales y otras entidades públicas o educacionales a lo largo del país, en forma oportuna y en las cantidades requeridas para cada uno de ellos y con ello concretar las políticas públicas en materia educacional.;CLP;PUBLICADO;ESTIMADO;2.620.000.000;SUBSECRETARIA DEL MINISTERIO DE EDUCACION PUBLICA
3686-28-LR26;CONSTRUCCION CENTRO INTEGRAL DEL ADULTO MAYOR COMUNA DE SALAMANCA;LR;Publicada y disponible para ofertar;11/09/2026 16:33:39;El proyecto que consiste en la construcción de 2.343 m2 desglosado en administración – recepción de 40 m2  área de extensión-interacción 421 m2  área de deporte indoor de 264 m2  spa de 246 m2  talleres de 204 m2  servicios higiénicos de 33 m2  servicios generales y estacionamientos de 473 m2 y áreas de circulaciones y muros de 662 m2 se emplazará en terreno del ex matadero y cuya propiedad es del municipio de salamanca.;CLP;PUBLICADO;ESTIMADO;7.815.068.000;I MUNICIPALIDAD DE SALAMANCA
3172-69-LR26;AMPLIACIÓN ESCUELA DE FORMACIÓN CARABINEROS ANCUD;LR;Publicada y disponible para ofertar;11/09/2026 11:34:25;PROYECTO AMPLIACIÓN ESCUELA DE FORMACIÓN DE CARABINEROS SEDE ANCUD.;CLP;PUBLICADO;DISPONIBLE;966.156.358;DIRECCION DE LOGISTICA DE CARABINEROS
3172-66-LR26;REPARACIÓN INTEGRAL TENENCIA COYHAIQUE ALTO.;LR;Publicada y disponible para ofertar;04/09/2026 15:49:53;PROYECTO REPARACIÓN INTEGRAL TENENCIA COYHAIQUE ALTO.;CLP;PUBLICADO;DISPONIBLE;632.106.042;DIRECCION DE LOGISTICA DE CARABINEROS
941739-11-LP26;SUMINISTRO DE MUEBLES Y MOBILIARIO A MEDIDA - UTA.;LP;Publicada y disponible para ofertar;24/08/2026 09:30:30;SUMINISTRO DE MUEBLES Y MOBILIARIO A MEDIDA - UTA.;CLP;PUBLICADO;DISPONIBLE;200.000.000;UNIVERSIDAD DE TARAPACA
4063-11-LP26;CONSTRUCCIÓN BRIGADA DE EMERGENCIA LOCALIDAD DE ESTACIÓN MARIQUINA Y CENTRO DE PROTECCIÓN CIVIL LOCALIDAD DE RUCACO MARIQUINA ;LP;Publicada y disponible para ofertar;18/08/2026 13:16:00;CONSTRUCCIÓN BRIGADA DE EMERGENCIA LOCALIDAD DE ESTACIÓN MARIQUINA Y CENTRO DE PROTECCIÓN CIVIL LOCALIDAD DE RUCACO, SEGÚN PROYECTO ADJUNTO;CLP;PUBLICADO;DISPONIBLE;251.827.174;I MUNICIPALIDAD DE MARIQUINA
822-1-LR26;CONSTRUCCIÓN TENENCIA PANQUEHUE - SEGUNDO LLAMADO;LR;Publicada y disponible para ofertar;10/06/2026 14:57:00;Obra CONSTRUCCIÓN TENENCIA PANQUEHUE, COMUNA DE PANQUEHUE - SEGUNDO LLAMADO;CLP;PUBLICADO;DISPONIBLE;1.986.891.000;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
