Orden de gobierno,Descripción Ramo,Institución,Código del expediente,Título del expediente,Ley,Tipo Procedimiento,Número de procedimiento,Tipo de contratación,Fecha de publicación,Fecha de apertura,Fecha de fallo,Título del contrato,Descripción del contrato,Estatus DRC,Estatus Contrato,Importe DRC,Monto sin imp./máximo,Moneda,Dirección del anuncio
APF,MARINA,"ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL PUERTO VALLARTA, S.A. DE C.V.",E-2025-00104673,"SERVICIOS PROFESIONALES PARA LA ASESORÍA FISCAL, FINANCIERA Y CONTABLE",LAASSP,ADJUDICACIÓN DIRECTA POR MONTOS MÁXIMOS POR EXCEPCIÓN,AA-13-J2V-013J2V001-N-42-2025,SERVICIOS,2025/11/2 2:22,,2025/8/21 0:00,ASIPONA-PV-GAF-34-2025,"SERVICIOS PROFESIONALES PARA LA ASESORÍA FISCAL, FINANCIERA Y CONTABLE PARA LOS EJERCICIOS 2025 Y 2026",PUBLICADO,FORMALIZADO,228000,264480,MXN,https://comprasmx.buengobierno.gob.mx/sitiopublico/#/sitiopublico/detalle/3f335fdbfbe64de1bd36d1482e0d717f/procedimiento
APF,"INFRAESTRUCTURA, COMUNICACIONES Y TRANSPORTES","INFRAESTRUCTURA, COMUNICACIONES Y TRANSPORTES",E-2025-00007004,"CONSERVACION PERIODICA META 4.0 KM LIBRAMIENTO SURPONIENTE, QUERETARO",LOPSRM,LICITACIÓN PÚBLICA,LO-09-642-009000960-N-5-2025,OBRA PÚBLICA,2025/1/16 21:36,2025/2/5 17:30,2025/3/14 20:00,2025 22 CB A 006 W 00 2025,"CONSERVACIÓN PERIÓDICA MEDIANTE TRABAJOS DE BACHEO Y CAPA DE RODADURA DE MICROAGLOMERADO",PUBLICADO,FORMALIZADO,4157987.95,4823266.02,MXN,https://comprasmx.buengobierno.gob.mx/sitiopublico/#/sitiopublico/detalle/32e2b81f23404283a143279cf4effa61/procedimiento
