Proyecto,Alias,Sector,Subsector,Tipo de inversión,Moneda del contrato,Inversión (Millones MXN),Inversión (Millones USD),Alcances del contrato,Participación Banobras/Fonadin,Descripción,Tipo de proyecto,Tipo de contrato,Plazo de contrato,Proceso de selección,Registro de Unidad de Inversiones o equivalente,Anuncio/ Convocatoria,Recepción de propuestas,Fallo,Firma contrato,Inicio de ejecución/construcción,Inicio de operación,Término de la vigencia del contrato,Etapa,Subetapa,Nombre del adjudicatario del contrato,Empresas asociadas al adjudicatario,Estado(s),Entidad responsable,�?rea responsable,Observaciones,URL,Activo,Cantidad,Medida,Calidad,Activo 2,Cantidad 2,Medida 2,Calidad 2,Activo 3,Cantidad 3,Medida 3,Calidad 3,Activo 4,Cantidad 4,Medida 4,Calidad 4,Sostenibilidad,Redes de Alianza
1118 Rehabilitación y ampliación de las PTAR Puerta de Anza y Lomas de Anza,"Diseño y construcción de la rehabilitación y ampliación de las Plantas de Tratamiento de Aguas Residuales (PTAR) Lomas de Anza y Puerta de Anza, en Nogales, estado de Sonora.",Agua y Medio Ambiente,Saneamiento de Agua,Brownfield,Pesos mexicanos MXN,,,"Diseño,Construcción,Ampliación,Equipamiento,Operación,Mantenimiento,Conservación",,"El proyecto consiste en el diseño, construcción, rehabilitación, equipamiento, instalación, operación, mantenimiento y conservación de la infraestructura de saneamiento de las Plantas de Tratamiento de Aguas Residuales (PTAR) Lomas de Anza y Puerta de Anza, ubicadas en la localidad de Nogales, Sonora. Contempla los siguientes componentes: - PTAR Loma de Anza: Rehabilitación de la infraestructura existente y ampliación de su capacidad de tratamiento de 30 a 50 L/s. - PTAR Puerta de Anza: Rehabilitación y ampliación masiva de su capacidad operativa de 45 L/s a 220 L/s, dividida en dos trenes de tratamiento secuenciales de 110 L/s cada uno para no interrumpir el servicio actual de saneamiento. - Obras complementarias y servicios: Diseño y validación del Proyecto Ejecutivo por el Organismo de Cuenca Noroeste de CONAGUA, construcción de vialidades internas, estacionamiento, oficinas, laboratorios, caseta de vigilancia, camino de acceso, estabilización del sistema y gestión integral de los lodos generados. Se deberá cumplir con una cuota mínima de 70% de contenido nacional en materiales y equipos, 50% en acero y al menos 30% de mano de obra local del estado de Sonora.",Público / Privado,Inversión en Infraestructura Estratégica para el Desarrollo con Bienestar,4 Años,Licitación Pública Nacional,,28/08/2026,28/09/2026,08/10/2026,15/10/2026,16/10/2026,,19/10/2030,Licitación,Elaboración de Propuesta,,,Sonora,Comisión Nacional del Agua,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1118-rehabilitacion-y-ampliacion-de-las-ptar-puerta-de-anza-y-lomas-de-anza/,,,,,,,,,,,,,,,,,,
1117 Central de Generación Co-Localizada Los Cabos,"CONSTRUCCIÓN DE LA CENTRAL DE GENERACIÓN CO-LOCALIZADA LOS CABOS, EN EL ESTADO DE BAJA CALIFORNIA SUR.",Electricidad,Generación,Greenfield,Pesos mexicanos MXN,,,"Diseño,Construcción,Equipamiento,Instalación",,"El proyecto consiste en el desarrollo de una Central de Generación Co-Localizada compuesta por tecnología de Combustión Interna, una Central Fotovoltaica y un Sistema de Almacenamiento de Energía (SAE) con Grid Forming. El desarrollo se ubicará en Cabo San Lucas, municipio de Los Cabos, Baja California Sur, e incorporará su energía directamente al Sistema Eléctrico Baja California Sur. Sus componentes y características principales incluyen: - Central de Combustión Interna: Tendrá una Capacidad Neta Garantizada de 130 MW ± 10% bajo condición Media Anual, operando con Gas Natural como combustible base a través de un arreglo de 7 Unidades Motogeneradoras Duales. - Central Fotovoltaica: Contará con una capacidad pico de 7.68 MWcd y una Capacidad Neta de 6.25 MWca. - Sistema de Almacenamiento de Energía (SAE): Dispondrá de una capacidad de almacenamiento del 100% (6.25 MW) diseñada para el despacho continuo por 6 horas, incorporando tecnología de Formación de Red (Grid Forming). - Obras de Interconexión Eléctrica: Contempla la infraestructura necesaria para enlazar la central a la red eléctrica a través del punto de interconexión en la subestación ""SE Los Cabos"" en un nivel de tensión de 115 kV. El objetivo del proyecto es fortalecer el suministro eléctrico de la región mediante tecnologías híbridas y un respaldo de almacenamiento adaptado a la red local, asegurando un porcentaje mínimo de contenido nacional del 30% en los componentes del proyecto y del 90% en la mano de obra contratada.",Público,Obra Pública Financiada,3 Años,Licitación Pública Internacional Bajo Tratados,,28/08/2026,19/10/2026,09/11/2026,01/12/2026,02/12/2026,,01/12/2029,Licitación,Elaboración de Propuesta,,,Baja California Sur,Comisión Federal de Electricidad,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1117-central-de-generacion-co-localizada-los-cabos/,,,,,,,,,,,,,,,,,,
